month,fuel,energy_MWh,year
2010-01,wind,66512.804,2010
2010-02,bio,3322.293,2010
2010-02,coal,728294.73,2010
2010-02,distillate,26.884,2010
2010-02,gas,700238.638,2010
2010-02,other,0.0,2010
2010-02,wind,55123.023,2010
2010-03,bio,3619.172,2010
2010-03,coal,720440.659,2010
2010-03,distillate,0.0,2010
2010-03,gas,765028.746,2010
2010-03,other,2.996,2010
2010-03,wind,63558.372,2010
2010-04,bio,3683.888,2010
2010-04,coal,584943.844,2010
2010-04,distillate,9.692,2010
2010-04,gas,677039.09,2010
2010-04,other,17.099,2010
2010-04,wind,43797.258,2010
2010-05,bio,3723.785,2010
2010-05,coal,718095.1089999999,2010
2010-05,distillate,0.0,2010
2010-05,gas,634518.745,2010
2010-05,other,7.092,2010
2010-05,wind,44693.367,2010
2010-06,bio,3380.2929999999997,2010
2010-06,coal,731465.603,2010
2010-06,distillate,0.0,2010
2010-06,gas,671619.403,2010
2010-06,other,0.008,2010
2010-06,wind,47089.561,2010
2010-07,bio,3476.334,2010
2010-07,coal,762322.85,2010
2010-07,distillate,13.897000000000002,2010
2010-07,gas,727376.201,2010
2010-07,other,0.445,2010
2010-07,wind,44677.03,2010
2010-08,bio,3364.75,2010
2010-08,coal,704011.495,2010
2010-08,distillate,46.25,2010
2010-08,gas,717299.395,2010
2010-08,other,13.953,2010
2010-08,wind,43905.875,2010
2010-09,bio,4963.957,2010
2010-09,coal,627724.905,2010
2010-09,distillate,115.983,2010
2010-09,gas,686810.921,2010
2010-09,other,0.0,2010
2010-09,wind,52154.615000000005,2010
2010-10,bio,5220.64,2010
2010-10,coal,582501.6429999999,2010
2010-10,distillate,0.0,2010
2010-10,gas,715788.272,2010
2010-10,other,0.56,2010
2010-10,wind,64290.926999999996,2010
2010-11,bio,3613.2650000000003,2010
2010-11,coal,624766.677,2010
2010-11,distillate,68.46,2010
2010-11,gas,740880.754,2010
2010-11,other,0.0,2010
2010-11,wind,61509.691999999995,2010
2010-12,bio,3374.272,2010
2010-12,coal,759960.994,2010
2010-12,distillate,11.672,2010
2010-12,gas,667009.229,2010
2010-12,other,0.431,2010
2010-12,wind,65910.503,2010
2011-01,bio,3169.575,2011
2011-01,coal,829297.352,2011
2011-01,distillate,0.0,2011
2011-01,gas,750645.548,2011
2011-01,other,1.071,2011
2011-01,wind,60639.846,2011
2011-02,bio,2916.542,2011
2011-02,coal,773900.383,2011
2011-02,distillate,382.053,2011
2011-02,gas,823524.344,2011
2011-02,other,11.982000000000001,2011
2011-02,wind,56417.844,2011
2011-03,bio,3297.883,2011
2011-03,coal,867062.1939999999,2011
2011-03,distillate,27.762,2011
2011-03,gas,716028.324,2011
2011-03,other,0.506,2011
2011-03,wind,68449.348,2011
2011-04,bio,3151.49,2011
2011-04,coal,709455.419,2011
2011-04,distillate,4825.6539999999995,2011
2011-04,gas,606855.548,2011
2011-04,other,0.039,2011
2011-04,wind,51147.378,2011
2011-05,bio,2416.812,2011
2011-05,coal,800470.7509999999,2011
2011-05,distillate,316.267,2011
2011-05,gas,539385.523,2011
2011-05,other,0.0,2011
2011-05,wind,55699.259,2011
2011-06,bio,2222.082,2011
2011-06,coal,710636.97,2011
2011-06,distillate,0.0,2011
2011-06,gas,654893.2930000001,2011
2011-06,other,0.8049999999999999,2011
2011-06,wind,67014.169,2011
2011-07,bio,1872.353,2011
2011-07,coal,563191.783,2011
2011-07,distillate,28.735,2011
2011-07,gas,876692.514,2011
2011-07,other,2.128,2011
2011-07,wind,74642.693,2011
2011-08,bio,3755.3869999999997,2011
