year,fuel,energy_MWh,total_MWh,share_pct
2017,gas,7512524.727,18062917.31,41.59087149693651
2017,solar,21696.165,18062917.31,0.12011440138735818
2017,wind,1506793.593,18062917.31,8.341917128557126
2018,bio,133410.847,17627801.448,0.7568206812037609
2018,coal,8361922.234,17627801.448,47.435990578103095
2018,distillate,2208.977,17627801.448,0.012531211033413496
2018,gas,7512116.47,17627801.448,42.61516384876404
2018,solar,24085.792,17627801.448,0.13663525806692534
2018,wind,1594057.128,17627801.448,9.042858422828772
2019,bio,111804.318,17536738.121,0.6375434087489503
2019,coal,7953002.381,17536738.121,45.350522577949604
2019,distillate,2429.6369999999997,17536738.121,0.013854554839309275
2019,gas,7286497.5770000005,17536738.121,41.54990242041946
2019,solar,47409.616,17536738.121,0.2703445513805538
2019,wind,2135594.592,17536738.121,12.177832486662131
2020,bio,101171.889,17314382.11,0.5843228384197882
2020,coal,7180099.147,17314382.11,41.46898862104413
2020,distillate,6450.789,17314382.11,0.037256824754227404
2020,gas,7341622.751,17314382.11,42.401875529591166
2020,solar,150957.585,17314382.11,0.8718623860843049
2020,wind,2534079.949,17314382.11,14.635693800106392
2021,bio,94438.946,17605902.578,0.5364050242900303
2021,coal,7688922.385,17605902.578,43.67241242495531
2021,distillate,4536.502,17605902.578,0.025766937990834543
2021,gas,6033036.117000001,17605902.578,34.26712200792686
2021,solar,367736.924,17605902.578,2.088713841115519
2021,wind,3417231.704,17605902.578,19.409579763721442
2022,bio,90426.133,17561506.865000002,0.5149110135885825
2022,coal,6359109.416,17561506.865000002,36.21049984425696
2022,distillate,2898.3999999999996,17561506.865000002,0.016504278489771835
2022,gas,7182497.014,17561506.865000002,40.89909293783145
2022,solar,382720.91000000003,17561506.865000002,2.179317030947731
2022,wind,3543854.992,17561506.865000002,20.179674894885505
2023,bio,68406.641,13334428.406,0.5130076739488851
2023,coal,4748476.36,13334428.406,35.610647981456495
2023,distillate,5043.068,13334428.406,0.03781990383427914
2023,gas,5895235.858,13334428.406,44.21063789541486
2023,solar,261295.914,13334428.406,1.9595584155855266
2023,storage,10772.408,13334428.406,0.08078642497456295
2023,wind,2345198.157,13334428.406,17.587541704785394
