event,start,end,duration_days,mean_intensity_c,max_intensity_c,peak_date,severity_ratio,category
42,1999-08-13,1999-08-24,12,1.0081302942166264,1.3179852891687993,1999-08-17,1.62349705900657,I Moderate
43,1999-11-08,1999-11-17,10,1.7937675496370358,2.855597327051587,1999-11-12,2.583070982476861,II Strong
44,1999-11-21,1999-12-07,17,1.5674548838621094,1.818824719965388,1999-12-05,1.5297775734737795,I Moderate
45,2000-02-13,2000-02-18,6,1.936175776805608,2.028319263496954,2000-02-14,1.1901236904634163,I Moderate
46,2000-03-30,2000-04-03,5,1.2993470474175879,1.429370719356438,2000-04-02,1.2917646341871925,I Moderate
47,2001-04-05,2001-04-12,8,1.2548265968783583,1.448133423072612,2001-04-09,1.303892129666173,I Moderate
48,2001-08-19,2001-08-30,12,1.1820229102233342,1.5412046696472963,2001-08-22,1.9528985872156968,I Moderate
49,2005-05-07,2005-05-20,14,1.3618747942521057,1.7324711952950942,2005-05-08,1.9873284315405975,I Moderate
50,2005-05-25,2005-06-02,9,1.1790338071353403,1.3328903898850974,2005-05-28,1.545332572709569,I Moderate
51,2007-11-24,2007-11-29,6,1.3459797418927526,1.4350782654680074,2007-11-25,1.2115890924822765,I Moderate
52,2007-12-31,2008-01-08,9,1.7666914088696732,2.182012511665654,2008-01-02,1.4333624720302112,I Moderate
53,2008-03-20,2008-03-27,8,1.589877261509863,1.7876541512427266,2008-03-25,1.6786151794958517,I Moderate
54,2008-04-07,2008-04-18,12,1.5086649373160517,1.9921603128054741,2008-04-15,1.8852247506334316,I Moderate
55,2008-06-01,2008-06-06,6,1.272838864584502,1.6356489431597794,2008-06-02,1.9136171070236654,I Moderate
56,2008-10-19,2008-10-27,9,1.7258171686902541,2.7567578481803814,2008-10-23,2.858114209393116,II Strong
57,2009-02-08,2009-02-15,8,2.1032978763040275,2.3786155473294563,2009-02-11,1.3958114751071506,I Moderate
58,2010-09-26,2011-01-26,123,2.2091958946579937,3.7012821781881016,2011-01-10,2.85815836433715,II Strong
59,2011-02-06,2011-02-23,18,2.3907166001634557,2.8961679726936254,2011-02-13,1.7012068101598925,I Moderate
60,2011-04-22,2011-04-27,6,1.334147113653722,1.4929514446420846,2011-04-26,1.4914913591391754,I Moderate
61,2011-12-10,2011-12-14,5,1.68198069803814,2.128224112356577,2011-12-12,1.7443954872571208,I Moderate
62,2011-12-20,2011-12-26,7,1.5818067048043685,1.7032745022750895,2011-12-24,1.2348824312304763,I Moderate
63,2012-01-13,2012-02-08,27,2.21637602253691,2.640849028284727,2012-01-18,1.665082219461052,I Moderate
64,2012-03-08,2012-03-16,9,1.7302510224757688,1.8593685559989055,2012-03-11,1.5846844785028429,I Moderate
65,2012-03-23,2012-04-01,10,1.477546210919342,1.7858133423072609,2012-03-26,1.6728644451837467,I Moderate
66,2012-10-10,2012-10-16,7,1.1554483163584177,1.2463021329102766,2012-10-12,1.308121177315571,I Moderate
67,2012-12-27,2013-03-04,68,2.376875362966465,3.469284697851066,2013-02-03,2.0698363264027555,II Strong
68,2013-04-11,2013-04-21,11,1.3302257540065847,1.4784394019518317,2013-04-18,1.4216125569276823,I Moderate
69,2013-10-23,2013-11-05,14,1.2195347041465514,1.333379484960659,2013-11-03,1.309326501632531,I Moderate
70,2013-12-13,2013-12-18,6,1.375519842835167,1.4472663795970284,2013-12-15,1.1623574362383868,I Moderate
71,2013-12-24,2013-12-30,7,1.695177560965032,1.989925913264937,2013-12-30,1.3515003665055692,I Moderate
72,2014-03-20,2014-03-29,10,1.6642910677371276,2.0602145890421966,2014-03-24,1.927398593742729,I Moderate
