date,sst,clim,thr,anom,mhw
1982-02-11,26.837704918032784,26.861056583818087,28.565166049709145,-0.023351665785302345,False
1982-02-12,26.53655737704918,26.902175135810776,28.60498783712321,-0.3656177587615943,False
1982-02-13,26.700819672131146,26.943176289601457,28.64559598096245,-0.24235661747031045,False
1982-02-14,26.577704918032786,26.98413975289649,28.68843257535695,-0.4064348348637026,False
1982-02-15,26.500983606557377,27.024375510792744,28.730164463246957,-0.5233919042353676,False
1982-02-16,26.480983606557377,27.063444417736324,28.769516657852986,-0.5824608111789473,False
1982-02-17,27.045737704918032,27.101245613191665,28.80748281332628,-0.05550790827363272,False
1982-02-18,26.95737704918033,27.137219492652594,28.839676890534108,-0.17984244347226408,False
1982-02-19,26.715245901639346,27.17117656202426,28.86731147540983,-0.45593066038491514,False
1982-02-20,26.40672131147541,27.203324904251403,28.89022686409307,-0.7966035927759947,False
1982-02-21,26.69655737704918,27.233732641058925,28.905325224748804,-0.5371752640097434,False
1982-02-22,26.959344262295083,27.262532554524622,28.917626123744046,-0.3031882922295388,False
1982-02-23,27.16655737704918,27.289495072352295,28.92461025912215,-0.12293769530311494,False
1982-02-24,27.304262295081966,27.314713667612136,28.923922792173446,-0.010451372530170033,False
1982-02-25,27.257377049180327,27.338177892088524,28.9198704389212,-0.08080084290819656,False
1982-02-26,27.281475409836066,27.360104418056828,28.911948175568476,-0.07862900822076213,False
1982-02-27,27.428032786885243,27.38090612630803,28.902703331570592,0.04712666057721293,False
1982-02-28,27.541639344262293,27.40084914186818,28.892041248016916,0.14079020239411477,False
1982-03-01,28.04262295081967,27.420204108776822,28.882003172924374,0.6224188420428476,False
1982-03-02,28.200983606557376,27.439424931493683,28.872998942358535,0.7615586750636929,False
1982-03-03,27.811967213114755,27.458125234363735,28.865251189846635,0.35384197875102075,False
1982-03-04,27.503278688524592,27.47604499783664,28.8572363828662,0.02723369068795023,False
1982-03-05,27.52737704918033,27.493483662644422,28.849536224219985,0.03389338653590812,False
1982-03-06,27.142131147540987,27.511308703107225,28.843118455843463,-0.3691775555662389,False
1982-03-07,26.688360655737704,27.529300995144464,28.837722369116868,-0.8409403394067603,False
1982-03-08,27.057868852459016,27.547255051840462,28.83257747223691,-0.4893861993814461,False
1982-03-09,27.864754098360656,27.564829287053502,28.828633527234267,0.29992481130715376,False
1982-03-10,28.10852459016393,27.58149984776373,28.825386567953462,0.5270247424002008,False
1982-03-11,28.83573770491803,27.59668575228755,28.822384981491275,1.2390519526304828,False
1982-03-12,29.22032786885246,27.610631444001097,28.818449497620307,1.6096964248513643,False
1982-03-13,29.185409836065574,27.62322904347548,28.81450396615547,1.5621807925900946,False
1982-03-14,27.873606557377048,27.63499344582793,28.810691697514542,0.23861311154911746,False
1982-03-15,27.803770491803277,27.646570180920794,28.80878900052882,0.15720031088248376,False
1982-03-16,28.02704918032787,27.657595115619447,28.806409307244845,0.36945406470842457,False
1982-03-17,28.362131147540982,27.667772254539045,28.80153358011634,0.6943588930019367,False
1982-03-18,28.810000000000002,27.67728001858885,28.79661501850873,1.132719981411153,True
1982-03-19,29.581639344262296,27.686180984888544,28.792774193548393,1.8954583593737517,True
1982-03-20,29.7372131147541,27.69469914907937,28.7904902168165,2.042513965674729,True
1982-03-21,29.68704918032787,27.702880101918172,28.789544685351668,1.9841690784096997,True
1982-03-22,29.37688524590164,27.710952918930175,28.790400317292438,1.6659323269714648,True
1982-03-23,27.925901639344264,27.71845284681826,28.792190375462717,0.20744879252600512,False
1982-03-24,27.78327868852459,27.72535918144961,28.79426864093072,0.05791950707498117,False
1982-03-25,27.608524590163935,27.731487684886947,28.797548915917496,-0.12296309472301203,False
1982-03-26,27.611639344262294,27.73660814383924,28.80156583818085,-0.12496879957694773,False
1982-03-27,27.74081967213115,27.74107190359438,28.808590163934422,-0.0002522314632322775,False
1982-03-28,28.147868852459016,27.744988798615456,28.817196721311472,0.4028800538435604,False
1982-03-29,28.275901639344262,27.7482935115299,28.826753040719193,0.5276081278143607,False
1982-03-30,28.00377049180328,27.751251894940953,28.836272342675827,0.2525185968623269,False
1982-03-31,26.838360655737706,27.75377058795251,28.844804865150717,-0.9154099322148035,False
1982-04-01,27.247049180327867,27.75587067929427,28.852529349550505,-0.5088214989664017,False
1982-04-02,27.686885245901642,27.75714698011314,28.859219989423586,-0.07026173421149906,False
1982-04-03,27.935573770491803,27.757842395397663,28.864368059227925,0.17773137509414028,False
1982-04-04,28.192131147540984,27.75797838244956,28.869913273400318,0.4341527650914223,False
1982-04-05,28.39016393442623,27.757585100075318,28.874401903754624,0.6325788343509124,False
1982-04-06,28.77344262295082,27.756702466227583,28.8776092014807,1.0167401567232375,False
1982-04-07,28.797049180327868,27.75502679358364,28.875737176097303,1.0420223867442289,False
1982-04-08,28.79737704918033,27.752622662372,28.869665256478054,1.0447543868083287,False
1982-04-09,28.596557377049184,27.749735429386405,28.860359069275518,0.8468219476627787,False
1982-04-10,28.503114754098362,27.746197522555,28.84908143839239,0.7569172315433619,False
1982-04-11,28.3127868852459,27.742156851433418,28.83722263352724,0.5706300338124812,False
1982-04-12,28.18393442622951,27.737262038684033,28.825602855631942,0.4466723875454761,False
1982-04-13,28.184590163934427,27.73179938464497,28.81299048122687,0.4527907792894581,False
1982-04-14,28.468524590163934,27.725584378956135,28.800021152829196,0.7429402112077987,False
1982-04-15,28.570819672131147,27.71818566415076,28.783960867266003,0.852634007980388,False
1982-04-16,28.55344262295082,27.70947903145682,28.76620200951878,0.8439635914939991,False
1982-04-17,28.272950819672133,27.699281893498707,28.74723585404548,0.5736689261734256,False
1982-04-18,28.638032786885248,27.68779010624489,28.727763617133792,0.9502426806403577,False
1982-04-19,28.88622950819672,27.67477824784065,28.708521946060287,1.2114512603560712,False
1982-04-20,28.688524590163933,27.660112718939793,28.687886303543102,1.0284118712241401,False
1982-04-21,28.417868852459016,27.643873275323298,28.6667228979376,0.7739955771357181,False
1982-04-22,28.264262295081966,27.625995128439335,28.645482813326286,0.6382671666426312,False
1982-04-23,28.13622950819672,27.606647148374275,28.622213643574828,0.5295823598224452,False
1982-04-24,28.064262295081967,27.58575566879798,28.59729561078794,0.47850662628398766,False
1982-04-25,27.918524590163933,27.56309098921527,28.569912744579582,0.3554336009486647,False
1982-04-26,27.89934426229508,27.53868789962021,28.53966684294024,0.3606563626748702,False
1982-04-27,27.92049180327869,27.51231753281093,28.50601692226335,0.4081742704677609,False
1982-04-28,27.79262295081967,27.483962437703322,28.469598625066094,0.30866051311634735,False
1982-04-29,27.72245901639344,27.45359207089403,28.42917715494447,0.26886694549941126,False
1982-04-30,27.940983606557378,27.42130900757977,28.386649920676884,0.519674598977609,False
1982-05-01,28.49622950819672,27.387010480265374,28.342356953992596,1.1092190279313456,True
