year,facility,state,emitter,baseline_t,covered_t,net_t,accus_surrendered,smcs_surrendered,smcs_issued,regime,baseline_mymp_cumulative,facility_id,sector
2016,Sunrise Dam,WA,AngloGold Ashanti Australia Limited,146375.0,119170.0,119170.0,0.0,0.0,0.0,original,False,SUNRISE DAM,Metal ore mining
2016,Hope Downs 1 Mine,WA,Hamersley HMS Pty Ltd,146322.0,147190.0,146322.0,868.0,0.0,0.0,original,False,HOPE DOWNS 1 MINE,Metal ore mining
2016,Brockman 4 Mine,WA,Hamersley Iron Pty. Limited,144745.0,135344.0,135344.0,0.0,0.0,0.0,original,False,BROCKMAN 4 MINE,Metal ore mining
2016,Ravensthorpe Nickel Operation,WA,FQM Australia Nickel Pty Ltd,133096.0,110383.0,110383.0,0.0,0.0,0.0,original,False,RAVENSTHORPE NICKEL OPERATION,Metal ore mining
2016,Paraburdoo Mine,WA,Hamersley Iron Pty. Limited,131529.0,114947.0,114947.0,0.0,0.0,0.0,original,False,PARABURDOO MINE,Metal ore mining
2016,Yandicoogina Mine,WA,Hamersley Iron - Yandi Pty Limited,129106.0,134049.0,129106.0,4943.0,0.0,0.0,original,False,YANDICOOGINA MINE,Metal ore mining
2016,Jundee Gold Mine,WA,Northern Star Resources Ltd,124432.0,101563.0,101563.0,0.0,0.0,0.0,original,False,JUNDEE GOLD MINE,Metal ore mining
2016,Kemerton Silicon Smelter,WA,SIMCOA OPERATIONS PTY. LTD.,103809.0,102987.0,102987.0,0.0,0.0,0.0,original,False,KEMERTON SILICON SMELTER,Alumina and metals
2016,St Ives Gold Mine,WA,ST IVES GOLD MINING COMPANY PTY LIMITED,100000.0,101590.0,100000.0,1590.0,0.0,0.0,original,False,ST IVES GOLD MINE,Other
2017,Gorgon Operations,WA,CHEVRON AUSTRALIA PTY LTD,,9022087.0,,0.0,0.0,0.0,original,True,GORGON OPERATIONS,LNG / oil and gas
2017,North West Shelf Project,WA,WOODSIDE ENERGY LTD.,,7645451.0,,0.0,0.0,0.0,original,True,NORTH WEST SHELF PROJECT,LNG / oil and gas
2017,APU01 Pyrenees - AOA Facility,WA,BHP BILLITON PETROLEUM PTY LTD,,307156.0,,0.0,0.0,0.0,original,True,APU01 PYRENEES AOA FACILITY,LNG / oil and gas
2017,Wheatstone Project LNG Plant and Associated Facilities,WA,BECHTEL (WESTERN AUSTRALIA) PTY LTD,,284391.0,,0.0,0.0,0.0,original,True,WHEATSTONE PROJECT LNG PLANT AND ASSOCIATED FACILITIES,Other
2017,Fortescue Rail,WA,THE PILBARA INFRASTRUCTURE PTY LTD,,191407.0,,0.0,0.0,0.0,original,True,FORTESCUE RAIL,Other
2017,Eastern Ridge Mine,WA,BHP BILLITON IRON ORE PTY. LTD.,,90201.0,,0.0,0.0,0.0,original,True,EASTERN RIDGE MINE,Other
2017,Wheatstone Operations,WA,CHEVRON AUSTRALIA PTY LTD,4093724.0,2924996.0,2924996.0,0.0,0.0,0.0,original,False,WHEATSTONE OPERATIONS,LNG / oil and gas
2017,WOR01 Worsley Alumina Refinery/Mine,WA,BHP BILLITON WORSLEY ALUMINA PTY LTD,3722742.0,3581332.0,3581332.0,0.0,0.0,0.0,original,False,WOR01 WORSLEY ALUMINA REFINERY MINE,Other
