year,regime,facility,parent,sector,covered_t,baseline_t,headroom_t,accus_surrendered,smcs_surrendered,smcs_issued,above_baseline
2017,original,Brockman 2 / Nammuldi Mines,Rio Tinto,Metal ore mining,255798.0,316854.0,61056.0,0.0,0.0,0.0,False
2017,original,Enfield Project Venture,Woodside,Other,200381.0,309673.0,109292.0,0.0,0.0,0.0,False
2017,original,Tropicana Gold Mine,Other,Metal ore mining,253779.0,283693.0,29914.0,0.0,0.0,0.0,False
2017,original,MWB01 Mt Whaleback Mine - MNG Facility,BHP,Other,216854.0,253714.0,36860.0,0.0,0.0,0.0,False
2017,original,West Angelas Mine,Rio Tinto,Metal ore mining,221493.0,244656.0,23163.0,0.0,0.0,0.0,False
2017,original,Fimiston,Other,Other,193366.0,238394.0,45028.0,0.0,0.0,0.0,False
2017,original,Mt Keith Power Station,Other,Electricity,222682.0,233797.0,11115.0,0.0,0.0,0.0,False
2017,original,Jimblebar Mine,BHP,Metal ore mining,240050.0,225310.0,-14740.0,14740.0,0.0,0.0,True
2017,original,AWR Rail Freight WA,Other,Other,160565.0,216451.0,55886.0,0.0,0.0,0.0,False
2017,original,Boddington Mine,Other,Other,187137.0,208038.0,20901.0,0.0,0.0,0.0,False
2017,original,YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP,Metal ore mining,179972.0,195783.0,15811.0,0.0,0.0,0.0,False
2017,original,Tom Price Mine / WTS,Rio Tinto,Metal ore mining,150295.0,195096.0,44801.0,0.0,0.0,0.0,False
2017,original,NKW01 Nickel West Kwinana Facility,BHP,Alumina and metals,161594.0,181233.0,19639.0,0.0,0.0,0.0,False
2017,original,Leinster Power Station,Other,Electricity,169107.0,173336.0,4229.0,0.0,0.0,0.0,False
2017,original,NKS01 Nickel West Kalgoorlie Facility,BHP,Alumina and metals,163414.0,166573.0,3159.0,0.0,0.0,0.0,False
2017,original,Marandoo Mine,Rio Tinto,Metal ore mining,130849.0,160856.0,30007.0,0.0,0.0,0.0,False
2017,original,ATCO Gas Australia Pty Ltd,Other,Other,159734.0,159142.0,-592.0,592.0,0.0,0.0,True
2017,original,Sunrise Dam,Other,Metal ore mining,125845.0,146375.0,20530.0,0.0,0.0,0.0,False
2017,original,Hope Downs 1 Mine,Rio Tinto,Metal ore mining,142053.0,146322.0,4269.0,0.0,0.0,0.0,False
2017,original,Brockman 4 Mine,Rio Tinto,Metal ore mining,132773.0,144745.0,11972.0,0.0,0.0,0.0,False
2017,original,Paraburdoo Mine,Rio Tinto,Metal ore mining,112186.0,131529.0,19343.0,0.0,0.0,0.0,False
2017,original,Yandicoogina Mine,Rio Tinto,Metal ore mining,139207.0,129106.0,-10101.0,10101.0,0.0,0.0,True
2017,original,Jundee Gold Mine,Other,Metal ore mining,101749.0,124432.0,22683.0,0.0,0.0,0.0,False
2017,original,Solomon Power Station,Fortescue,Electricity,115169.0,123473.0,8304.0,0.0,0.0,0.0,False
2017,original,Kemerton Silicon Smelter,Other,Alumina and metals,102882.0,103809.0,927.0,0.0,0.0,0.0,False
2017,original,RMS PORT HEDLAND,Other,Other,100646.0,100000.0,-646.0,646.0,0.0,0.0,True
2017,original,Solomon Power Station,Other,Electricity,58143.0,62493.0,4350.0,0.0,0.0,0.0,False
2018,original,ATCO Gas Australia Pty Ltd,Other,Other,166574.0,159142.0,-7432.0,7432.0,0.0,0.0,True
2018,original,Brockman 2 / Nammuldi Mines,Rio Tinto,Metal ore mining,252090.0,316854.0,64764.0,0.0,0.0,0.0,False
2018,original,Brockman 4 Mine,Rio Tinto,Metal ore mining,134937.0,144745.0,9808.0,0.0,0.0,0.0,False
2018,original,FLNG,Shell,LNG / oil and gas,2317273.0,2725687.0,408414.0,0.0,0.0,0.0,False
2018,original,Hope Downs 1 Mine,Rio Tinto,Metal ore mining,148347.0,146322.0,-2025.0,2025.0,0.0,0.0,True
2018,original,Jundee Gold Mine,Other,Metal ore mining,107881.0,124432.0,16551.0,0.0,0.0,0.0,False
2018,original,Kemerton Silicon Smelter,Other,Alumina and metals,105739.0,103809.0,-1930.0,1930.0,0.0,0.0,True
2018,original,Marandoo Mine,Rio Tinto,Metal ore mining,147503.0,160856.0,13353.0,0.0,0.0,0.0,False
2018,original,NKW01 Nickel West Kwinana Facility,BHP,Alumina and metals,164078.0,181233.0,17155.0,0.0,0.0,0.0,False
2018,original,Paraburdoo Mine,Rio Tinto,Metal ore mining,101184.0,131529.0,30345.0,0.0,0.0,0.0,False
2018,original,Pilbara Rail Operations,Rio Tinto,Transport,625143.0,705421.0,80278.0,0.0,0.0,0.0,False
2018,original,PRL03 Rail - IOR Facility,BHP,Transport,494600.0,531328.0,36728.0,0.0,0.0,0.0,False
2018,original,Sino Iron Project - Cape Preston,CITIC,Metal ore mining,1256525.0,1293069.0,36544.0,0.0,0.0,0.0,False
2018,original,Solomon Power Station,Fortescue,Electricity,182117.0,183950.0,1833.0,0.0,0.0,0.0,False
2018,original,Tom Price Mine / WTS,Rio Tinto,Metal ore mining,156557.0,188447.0,31890.0,0.0,0.0,0.0,False
2018,original,Tropicana Gold Mine,Other,Metal ore mining,278020.0,283693.0,5673.0,0.0,0.0,0.0,False
2018,original,Wagerup Alumina Refinery,Alcoa,Alumina and metals,1380208.0,1481761.0,101553.0,0.0,0.0,0.0,False
2018,original,West Angelas Mine,Rio Tinto,Metal ore mining,245954.0,244656.0,-1298.0,1298.0,0.0,0.0,True
2018,original,Wheatstone Operations,Chevron,LNG / oil and gas,4056663.0,4093724.0,37061.0,0.0,0.0,0.0,False
2018,original,WOR01 Worsley Alumina Refinery/Mine,South32,Other,3613937.0,3722742.0,108805.0,0.0,0.0,0.0,False
2018,original,Yandicoogina Mine,Rio Tinto,Metal ore mining,151455.0,142111.0,-9344.0,9344.0,0.0,0.0,True
2018,original,Yarnima Power Station,BHP,Electricity,307802.0,333116.0,25314.0,0.0,0.0,0.0,False
2018,original,Mt Morgans Gold Project,Other,Other,100816.0,100000.0,-816.0,816.0,0.0,0.0,True
2018,original,APU01 Pyrenees - AOA Facility,BHP,LNG / oil and gas,201552.0,,,0.0,0.0,0.0,False
2018,original,ARC01 Mining Area C - MNG Facility,BHP,Metal ore mining,370602.0,,,0.0,0.0,0.0,False
2018,original,Dongara Operations,Other,Other manufacturing,106316.0,,,0.0,0.0,0.0,False
2018,original,Eastern Ridge Mine,BHP,Other,94892.0,,,0.0,0.0,0.0,False
2018,original,Facility WA CTC,Other,Other,102688.0,,,0.0,0.0,0.0,False
2018,original,Gorgon Operations,Chevron,LNG / oil and gas,8970457.0,,,0.0,0.0,0.0,False
2018,original,Jimblebar Mine,BHP,Metal ore mining,294288.0,,,0.0,0.0,0.0,False
2018,original,North West Shelf Project,Woodside,LNG / oil and gas,7387040.0,,,0.0,0.0,0.0,False
2018,original,Rail,Other,Transport,191558.0,,,1470.0,0.0,0.0,False
