station,station_name,water_year,total_ML,baseline_ML,anom_pct
614196,Williams River - Saddleback Rd Bridge,2007,55001.29361073181,60360.51669050992,-8.878689868174538
614196,Williams River - Saddleback Rd Bridge,2008,56029.07902433894,60360.51669050992,-7.175945309381326
614196,Williams River - Saddleback Rd Bridge,2009,70421.44431964283,60360.51669050992,16.668060813195005
614196,Williams River - Saddleback Rd Bridge,2010,14179.395301660561,60360.51669050992,-76.50882384860384
614196,Williams River - Saddleback Rd Bridge,2011,54120.12486213776,60360.51669050992,-10.338532820003666
614196,Williams River - Saddleback Rd Bridge,2012,31467.288535053573,60360.51669050992,-47.86776147659955
614196,Williams River - Saddleback Rd Bridge,2013,51678.1841316452,60360.51669050992,-14.384125641902902
614196,Williams River - Saddleback Rd Bridge,2014,44960.6871837173,60360.51669050992,-25.51308429938246
614196,Williams River - Saddleback Rd Bridge,2015,16211.897979444038,60360.51669050992,-73.14155201392944
614196,Williams River - Saddleback Rd Bridge,2016,53845.636563269734,60360.51669050992,-10.793280913489056
614196,Williams River - Saddleback Rd Bridge,2017,93968.35789197488,60360.51669050992,55.678518084569184
614196,Williams River - Saddleback Rd Bridge,2018,83518.51111011681,60360.51669050992,38.36613019458775
614196,Williams River - Saddleback Rd Bridge,2019,35649.54637124163,60360.51669050992,-40.93896420067165
614196,Williams River - Saddleback Rd Bridge,2020,27032.68663555051,60360.51669050992,-55.21462022242649
614196,Williams River - Saddleback Rd Bridge,2021,139475.1744000047,60360.51669050992,131.07021285974753
614196,Williams River - Saddleback Rd Bridge,2022,77596.01280001005,60360.51669050992,28.55425542142511
614224,Hotham River - Marradong Rd Bridge,1967,281036.2336051857,104389.3889595081,169.21915762357577
614224,Hotham River - Marradong Rd Bridge,1968,157310.43105905948,104389.3889595081,50.69580598855605
614224,Hotham River - Marradong Rd Bridge,1969,19310.10299232081,104389.3889595081,-81.50185264537657
614224,Hotham River - Marradong Rd Bridge,1970,106166.42715928658,104389.3889595081,1.702316890146549
614224,Hotham River - Marradong Rd Bridge,1971,38435.136718930364,104389.3889595081,-63.18099272155039
614224,Hotham River - Marradong Rd Bridge,1972,46281.14046276729,104389.3889595081,-55.664899541926225
614224,Hotham River - Marradong Rd Bridge,1973,140133.8950356745,104389.3889595081,34.241512889812434
614224,Hotham River - Marradong Rd Bridge,1974,324717.7643260681,104389.3889595081,211.0639573261836
614224,Hotham River - Marradong Rd Bridge,1975,88249.95967393358,104389.3889595081,-15.460794862813964
614224,Hotham River - Marradong Rd Bridge,1976,30890.75613410464,104389.3889595081,-70.40814546190424
614224,Hotham River - Marradong Rd Bridge,1977,23599.787386970525,104389.3889595081,-77.39254188361548
614224,Hotham River - Marradong Rd Bridge,1978,123878.73093081637,104389.3889595081,18.669849651929702
614224,Hotham River - Marradong Rd Bridge,1979,16729.24209779049,104389.3889595081,-83.9741929093199
614224,Hotham River - Marradong Rd Bridge,1980,35103.63073546838,104389.3889595081,-66.37241477763143
614224,Hotham River - Marradong Rd Bridge,1981,179395.9682355821,104389.3889595081,71.8526854345019
614224,Hotham River - Marradong Rd Bridge,1982,33760.193754816864,104389.3889595081,-67.65936261212123
614224,Hotham River - Marradong Rd Bridge,1983,333496.1128162431,104389.3889595081,219.47319180650044
614224,Hotham River - Marradong Rd Bridge,1984,72512.24647123773,104389.3889595081,-30.536765092700456
614224,Hotham River - Marradong Rd Bridge,1985,76317.48484682027,104389.3889595081,-26.891530252731645
614224,Hotham River - Marradong Rd Bridge,1986,69431.38751851,104389.3889595081,-33.48807938185945
614224,Hotham River - Marradong Rd Bridge,1987,43993.262705535104,104389.3889595081,-57.856576090698475
614224,Hotham River - Marradong Rd Bridge,1988,130624.68710648686,104389.3889595081,25.132150315732993
614224,Hotham River - Marradong Rd Bridge,1989,68765.32824243729,104389.3889595081,-34.12613204478966
614224,Hotham River - Marradong Rd Bridge,1990,66756.9551885007,104389.3889595081,-36.05005656811034
614224,Hotham River - Marradong Rd Bridge,1991,142215.62187415824,104389.3889595081,36.23570680093038
614224,Hotham River - Marradong Rd Bridge,1992,170847.09872299962,104389.3889595081,63.663280747116936
614224,Hotham River - Marradong Rd Bridge,1993,85170.48312468291,104389.3889595081,-18.41078487611424
614224,Hotham River - Marradong Rd Bridge,1994,117406.31784355726,104389.3889595081,12.469590074043202
614224,Hotham River - Marradong Rd Bridge,1995,148019.0380780239,104389.3889595081,41.79509962975205
614224,Hotham River - Marradong Rd Bridge,1996,276558.9743383929,104389.3889595081,164.9301591808993
614224,Hotham River - Marradong Rd Bridge,1997,45977.7892994158,104389.3889595081,-55.95549532601416
614224,Hotham River - Marradong Rd Bridge,1998,89375.75450688662,104389.3889595081,-14.382337709099113
614224,Hotham River - Marradong Rd Bridge,1999,140657.91235433117,104389.3889595081,34.74349620811687
614224,Hotham River - Marradong Rd Bridge,2000,123712.32411209222,104389.3889595081,18.510439945270065
614224,Hotham River - Marradong Rd Bridge,2001,32164.468139299748,104389.3889595081,-69.18799079111754
614224,Hotham River - Marradong Rd Bridge,2002,60543.48355280632,104389.3889595081,-42.002262723952995
614224,Hotham River - Marradong Rd Bridge,2003,112964.7418667081,104389.3889595081,8.214774502153954
614224,Hotham River - Marradong Rd Bridge,2004,64799.03986157649,104389.3889595081,-37.925645022492105
614224,Hotham River - Marradong Rd Bridge,2005,126163.32547985505,104389.3889595081,20.858381045599295
614224,Hotham River - Marradong Rd Bridge,2006,22215.74230412969,104389.3889595081,-78.71839032150383
614224,Hotham River - Marradong Rd Bridge,2007,74443.98253229957,104389.3889595081,-28.686255112408155
614224,Hotham River - Marradong Rd Bridge,2008,87808.97296418536,104389.3889595081,-15.883238862289117
614224,Hotham River - Marradong Rd Bridge,2009,137550.1829339733,104389.3889595081,31.76644130691102
614224,Hotham River - Marradong Rd Bridge,2010,16027.75873256541,104389.3889595081,-84.64618014118038
614224,Hotham River - Marradong Rd Bridge,2011,88295.14698766265,104389.3889595081,-15.417507595612323
614224,Hotham River - Marradong Rd Bridge,2012,28105.299524732844,104389.3889595081,-73.07647855316532
614224,Hotham River - Marradong Rd Bridge,2013,46899.938819929004,104389.3889595081,-55.07212055995351
614224,Hotham River - Marradong Rd Bridge,2014,47886.62930286508,104389.3889595081,-54.12691866465473
614224,Hotham River - Marradong Rd Bridge,2015,11288.534006688373,104389.3889595081,-89.18612885925876
614224,Hotham River - Marradong Rd Bridge,2016,71071.43568667368,104389.3889595081,-31.916992335071736
614224,Hotham River - Marradong Rd Bridge,2017,181024.97468350604,104389.3889595081,73.41319504583394
614224,Hotham River - Marradong Rd Bridge,2018,136164.27105579994,104389.3889595081,30.438804569128287
614224,Hotham River - Marradong Rd Bridge,2019,40088.82119509647,104389.3889595081,-61.59684274936542
614224,Hotham River - Marradong Rd Bridge,2020,23270.716799994076,104389.3889595081,-77.7077756351073
614224,Hotham River - Marradong Rd Bridge,2021,248869.75679999965,104389.3889595081,138.40522420965073
614224,Hotham River - Marradong Rd Bridge,2022,121106.27520001018,104389.3889595081,16.013970775311705
616002,Darkin River - Pine Plantation,1969,977.961600000135,3506.836050679745,-72.11270826845262
616002,Darkin River - Pine Plantation,1970,8814.070500304328,3506.836050679745,151.33967978331518
616002,Darkin River - Pine Plantation,1971,3236.9759999999264,3506.836050679745,-7.695257114386922
616002,Darkin River - Pine Plantation,1972,1357.6895999998703,3506.836050679745,-61.284486061539624
616002,Darkin River - Pine Plantation,1973,10539.763199998275,3506.836050679745,200.54907180377901
