site,season,days_vh,days_sev,ffdi_p99,ffdi_sum,season_span,n_days
merredin,1961,73,5,57.30614,4717.4169999999995,195,212
merredin,1962,45,2,48.591229999999996,3613.2889999999998,173,212
merredin,1963,59,1,45.40756,4498.903,173,213
merredin,1964,68,1,48.98240999999999,4648.323,206,212
merredin,1965,62,2,47.77806999999997,4033.3330000000005,178,212
merredin,1966,56,1,45.01437999999995,4147.865,189,212
merredin,1967,50,2,49.70896,4096.594000000001,144,213
merredin,1968,65,5,54.669589999999985,4798.154,197,212
merredin,1969,83,3,58.80032999999986,4888.394,193,212
merredin,1970,84,2,48.690999999999995,4843.66,185,212
merredin,1971,78,4,50.9704,4790.123,207,213
merredin,1972,78,4,50.425799999999995,4970.786,189,212
merredin,1973,59,1,45.48343999999996,3968.3029999999994,172,212
merredin,1974,53,4,51.626869999999975,3971.179,177,212
merredin,1975,59,5,51.67484,4125.784,166,213
merredin,1976,66,5,50.92515,4746.066000000001,186,212
merredin,1977,62,3,51.880279999999956,4324.235000000001,190,212
merredin,1978,63,3,55.816879999999905,4350.749,186,212
merredin,1979,55,4,55.33863999999997,4380.374,166,213
merredin,1980,58,2,48.64816999999999,4429.823,203,212
merredin,1981,56,4,54.69489999999996,4401.612999999999,201,212
merredin,1982,73,2,47.96717999999999,4844.647000000001,197,212
merredin,1983,43,2,48.70979999999999,3716.9289999999996,188,213
merredin,1984,80,5,58.02065999999995,5005.21,199,212
merredin,1985,62,4,53.567319999999995,4657.465,193,212
merredin,1986,76,7,56.445750000000004,4825.34,196,212
merredin,1987,79,5,53.036159999999995,4599.495999999999,190,213
merredin,1988,63,2,47.79986999999998,4433.924,189,212
merredin,1989,49,1,47.77270999999999,3969.5420000000004,166,212
merredin,1990,89,7,62.809079999999994,5134.927,180,212
merredin,1991,57,1,45.891119999999994,3851.169,158,213
merredin,1992,64,8,55.62072999999998,4403.565,167,212
merredin,1993,87,11,58.284779999999984,5165.545,182,212
merredin,1994,77,4,53.93783999999995,4557.918,158,212
merredin,1995,73,10,58.136639999999986,4537.249000000001,185,213
merredin,1996,68,7,53.31878,4295.766,188,212
merredin,1997,97,7,60.6334,5141.771,179,212
merredin,1998,59,2,46.930559999999964,4083.0690000000004,189,212
merredin,1999,25,1,39.24931999999999,2744.9269999999997,105,213
merredin,2000,63,4,53.46548999999999,4482.023999999999,185,212
merredin,2001,58,1,42.925039999999996,4294.095,182,212
