site,metric,label,window,n,sen_slope_per_decade,ols_slope_per_decade,ols_p,mk_tau,mk_p,mk_p_tfpw,mk_trend
margaret_river,days_vh,days at Very High (FFDI >= 25),full,85,0.0,-0.15614617940199335,0.025648711648458365,-0.054901960784313725,0.25036593286790054,0.25036593286790054,no trend
margaret_river,days_vh,days at Very High (FFDI >= 25),1975+,51,0.0,0.134841628959276,0.009240815114028899,0.13725490196078433,0.011144311980368495,0.3543828962276367,increasing
margaret_river,days_sev,days at Severe (FFDI >= 50),full,85,0.0,0.0,,0.0,1.0,1.0,no trend
margaret_river,days_sev,days at Severe (FFDI >= 50),1975+,51,0.0,0.0,,0.0,1.0,1.0,no trend
margaret_river,ffdi_p99,seasonal 99th-percentile FFDI,full,85,-0.30075417457306086,-0.49102503615399645,0.0042222737113901615,-0.16750700280112044,0.02345695896451301,0.018641668369981153,decreasing
margaret_river,ffdi_p99,seasonal 99th-percentile FFDI,1975+,51,0.39859393939393833,0.7296539547511303,0.009449538069084605,0.19215686274509805,0.047499444890941406,0.047499444890941406,increasing
margaret_river,ffdi_sum,cumulative seasonal FFDI,full,85,-27.952336134453954,-40.8383099472347,9.220244204886212e-05,-0.2330532212885154,0.0016101920205075168,0.0007449581445167177,decreasing
margaret_river,ffdi_sum,cumulative seasonal FFDI,1975+,51,4.587777777777799,16.37534117647062,0.3107310290962957,0.02588235294117647,0.7949326145522957,0.7949326145522957,no trend
margaret_river,season_span,days from first to last Very High day,full,85,0.0,-1.8194254445964433,0.004371952527355435,-0.05350140056022409,0.26258355271026546,0.26258355271026546,no trend
margaret_river,season_span,days from first to last Very High day,1975+,51,0.0,0.6425339366515836,0.04790663251012178,0.1388235294117647,0.010248949388307558,0.3420225790205945,increasing
