sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
1989284S08080,1990,Unnamed,53,3924.0696482499397,,,30.0,,-1,,,1989-10-12 06:00:00,-10.3,79.2,False,1985-94
1989302S05079,1990,Unnamed,37,3284.2078832286934,,,35.0,,0,,,1989-10-31 00:00:00,-7.8,84.6,False,1985-94
1989309S07100,1990,Pedro,71,1992.618728596664,60.0,982.0,65.0,,1,60.0,982.0,1989-11-10 00:00:00,-12.3,95.6,False,1985-94
1989346S10133,1990,Felicity,80,766.4772860100636,75.0,970.0,60.0,,0,75.0,970.0,1989-12-15 09:00:00,-16.5,141.1,False,1985-94
1989349S08065,1990,Alibera,189,5458.171685704067,,,135.0,,4,72.0,954.0,1989-12-20 18:00:00,-10.9,55.7,False,1985-94
1989364S05095,1990,Baomavo,79,2519.8414968184525,,,85.0,,2,,,1990-01-05 12:00:00,-18.1,84.6,False,1985-94
1990008S27086,1990,Baomavo,14,2607.065292633569,,,,,-5,,,1990-01-08 12:00:00,-24.15,85.44999999999999,False,1985-94
1990005S13112,1990,Rosita,103,1048.5215864179086,45.0,988.0,,,-5,45.0,988.0,1990-01-13 12:00:00,-13.9,102.2,False,1985-94
1990012S12131,1990,Sam,77,45.77335550168447,70.0,966.0,50.0,,0,70.0,966.0,1990-01-17 06:00:00,-19.0,107.7,True,1985-94
1990024S14117,1990,Tina,57,24.96297462232649,50.0,976.0,45.0,,0,50.0,976.0,1990-01-26 12:00:00,-17.5,112.8,True,1985-94
1990032S11059,1990,Cezera,87,4421.77588322101,,,80.0,,1,52.0,976.0,1990-02-02 18:00:00,-12.2,59.9,False,1985-94
1990031S09070,1990,Dety,93,3239.158345838334,,,95.0,,2,72.0,954.0,1990-02-04 12:00:00,-16.1,67.0,False,1985-94
1990056S11125,1990,Vincent,79,241.2593317488502,70.0,966.0,70.0,,1,70.0,966.0,1990-03-04 00:00:00,-21.2,110.6,True,1985-94
1990058S16075,1990,Edisoana,77,4114.450164290984,,,100.0,,3,72.0,954.0,1990-03-06 06:00:00,-20.8,61.2,False,1985-94
1990065S07083,1990,Felana,85,3443.6402763517854,,,45.0,,0,36.0,991.0,1990-03-09 00:00:00,-15.2,76.5,False,1985-94
1990062S13091,1990,Gregoara:Walter,195,1645.6584104069207,60.0,976.0,110.0,,3,92.0,927.0,1990-03-14 06:00:00,-11.4,88.6,False,1985-94
1990074S12115,1990,Alex,93,993.4583251867632,120.0,927.0,130.0,,4,120.0,927.0,1990-03-19 06:00:00,-15.6,104.5,False,1985-94
1990101S07048,1990,Hanta,35,6945.116847539819,,,45.0,,0,36.0,991.0,1990-04-12 18:00:00,-11.9,46.1,False,1985-94
1990102S11092,1990,Bessi,53,1614.8535120127056,40.0,990.0,40.0,,0,40.0,990.0,1990-04-15 12:00:00,-16.5,91.0,False,1985-94
1990130S03081,1990,Ikonjo,113,4158.499426920423,,,55.0,,0,52.0,976.0,1990-05-17 12:00:00,-8.7,54.9,False,1985-94
1990262S07074,1991,Unnamed,51,4634.045581669778,,,30.0,,-1,,,1990-09-20 12:00:00,-6.2,72.2,False,1985-94
1990288S08074,1991,Unnamed,41,4598.717933458155,,,30.0,,-1,,,1990-10-16 18:00:00,-8.1,72.7,False,1985-94
1990334S08078,1991,Unnamed,61,3072.3547603918055,,,55.0,,0,28.0,997.0,1990-12-03 06:00:00,-14.9,79.5,False,1985-94
1990343S10128,1991,Laurence,33,63.515257089608355,35.0,992.0,35.0,,0,35.0,992.0,1990-12-10 12:00:00,-12.5,128.9,True,1985-94
1991008S09078,1991,Alison,85,2631.0050535534824,,,65.0,,1,20.0,1002.0,1991-01-15 00:00:00,-13.4,81.1,False,1985-94
1991013S04096,1991,Bella,183,2727.1632656059214,,,130.0,,4,85.0,936.0,1991-01-29 18:00:00,-17.7,61.8,False,1985-94
1991047S16041,1991,Cynthia,27,6894.480158768605,,,50.0,,0,67.0,970.0,1991-02-17 12:00:00,-20.0,44.3,False,1985-94
1991046S15122,1991,Chris,67,188.9242252461391,60.0,976.0,50.0,,0,60.0,976.0,1991-02-19 00:00:00,-15.7,116.8,True,1985-94
1991046S18150,1991,Daphne,109,38.60837392089952,60.0,976.0,60.0,,0,60.0,976.0,1991-02-23 06:00:00,-20.1,116.0,True,1985-94
1991053S21040,1991,Debra,81,6073.933845535112,,,90.0,,2,62.0,966.0,1991-02-26 06:00:00,-25.5,37.8,False,1985-94
1991057S10087,1991,Elma,61,1922.0222716340413,70.0,965.0,60.0,,0,70.0,965.0,1991-02-28 18:00:00,-18.2,88.7,False,1985-94
1991083S11100,1991,Errol,67,1592.734164850902,90.0,950.0,110.0,,3,90.0,950.0,1991-03-25 18:00:00,-10.5,99.9,False,1985-94
1991080S06092,1991,Fatima,99,1936.8209482437237,,,90.0,,2,72.0,954.0,1991-03-26 12:00:00,-12.0,80.7,False,1985-94
1991089S18052,1991,Unnamed,33,6320.7199810761485,,,,,-5,28.0,998.0,1991-04-01 06:00:00,-17.7,51.0,False,1985-94
1991099S10132,1991,Marian,83,376.7963146715586,100.0,930.0,95.0,,2,100.0,930.0,1991-04-13 00:00:00,-13.4,120.3,True,1985-94
1991105S12103,1991,Fifi,55,347.01677913184295,60.0,975.0,55.0,,0,60.0,975.0,1991-04-17 18:00:00,-14.8,102.2,True,1985-94
1991156S07084,1991,Gritelle,93,3607.521496415304,,,40.0,,0,44.0,984.0,1991-06-09 18:00:00,-10.5,69.8,False,1985-94
1991253S09080,1992,Unnamed,25,3693.3692049632687,,,45.0,,0,,,1991-09-12 06:00:00,-11.3,81.0,False,1985-94
1991285S08064,1992,Unnamed,89,5617.252018614846,,,35.0,,0,28.0,997.0,1991-10-18 00:00:00,-11.1,52.4,False,1985-94
1991290S10077,1992,Unnamed,49,4215.500612737666,,,,,-5,28.0,997.0,1991-10-19 12:00:00,-12.5,74.0,False,1985-94
1991324S08074,1992,Unnamed,71,4453.662536763903,,,45.0,,0,36.0,991.0,1991-11-23 18:00:00,-14.4,71.7,False,1985-94
1991335S04095,1992,Graham,93,1249.1348104132387,110.0,915.0,120.0,,4,110.0,915.0,1991-12-05 06:00:00,-9.6,95.5,False,1985-94
1991352S08066,1992,Alexandra,93,3626.8612578745674,,,105.0,,3,56.0,972.0,1991-12-22 12:00:00,-16.6,79.2,False,1985-94
1991360S13058,1992,Bryna,129,5300.087771862013,,,45.0,,0,39.0,988.0,1992-01-01 06:00:00,-15.0,53.9,False,1985-94
1992006S13134,1992,Mark,43,804.3479397673964,55.0,980.0,55.0,,0,55.0,980.0,1992-01-09 18:00:00,-13.4,141.0,False,1985-94
1992039S14063,1992,Celesta,47,4483.443155328989,,,45.0,,0,43.0,985.0,1992-02-11 12:00:00,-23.8,68.7,False,1985-94
1992044S14128,1992,Unnamed,13,24.722096601316693,,,25.0,,-1,,,1992-02-13 00:00:00,-13.9,126.5,True,1985-94
1992048S18067,1992,Davilia,73,3939.3931375464563,,,35.0,,0,39.0,988.0,1992-02-23 06:00:00,-20.8,71.9,False,1985-94
1992054S14044,1992,Elizabetha,29,6886.077294076554,,,,,-5,35.0,992.0,1992-02-24 12:00:00,-15.5,46.0,False,1985-94
1992055S17053,1992,Gerda,23,5459.419135017139,,,,,-5,20.0,1003.0,1992-02-25 15:00:00,-17.5,58.3,False,1985-94
1992058S15060,1992,Gerda,59,5237.867960604187,,,35.0,,0,35.0,992.0,1992-02-27 06:00:00,-15.3,61.2,False,1985-94
1992057S17052,1992,Unnamed,30,5294.114746567914,,,,,-5,31.0,995.0,1992-02-27 21:00:00,-15.950000000000001,54.099999999999994,False,1985-94
1992055S11086,1992,Farida,81,3175.0943592072904,,,120.0,,4,82.0,941.0,1992-02-28 18:00:00,-18.9,75.7,False,1985-94
1992060S18061,1992,Gerda,10,5349.85008839899,,,,,-5,35.0,992.0,1992-02-29 18:00:00,-17.55,60.8,False,1985-94
1992055S12119,1992,Ian,79,72.770488948242,105.0,930.0,115.0,,4,105.0,930.0,1992-03-01 09:00:00,-16.6,117.1,True,1985-94
1992061S19061,1992,Unnamed,7,5371.174507542827,,,,,-5,27.0,998.0,1992-03-01 09:00:00,-18.6,59.8,False,1985-94
1992056S11102,1992,Harriet:Heather,103,1163.443091313602,105.0,930.0,120.0,,4,105.0,930.0,1992-03-01 12:00:00,-15.1,89.4,False,1985-94
1992096S08132,1992,Neville,89,189.424710993669,110.0,945.0,120.0,,4,110.0,945.0,1992-04-09 00:00:00,-11.4,128.5,True,1985-94
1992096S05101,1992,Irna:Jane,119,1751.8319181350053,110.0,915.0,120.0,,4,110.0,915.0,1992-04-14 12:00:00,-14.7,87.3,False,1985-94
1992269S05087,1993,Aviona,81,3076.1876886078044,,,65.0,,1,40.0,988.0,1992-09-28 00:00:00,-9.4,87.4,False,1985-94
1992292S09083,1993,Babie,33,3627.0332377256923,,,45.0,,0,37.0,991.0,1992-10-20 00:00:00,-11.8,81.2,False,1985-94
1992331S11082,1993,Unnamed,121,3608.51557823132,,,35.0,,0,28.0,997.0,1992-12-07 18:00:00,-8.6,49.0,False,1985-94
1992352S11100,1993,Ken,57,1902.2891589619446,40.0,990.0,45.0,,0,40.0,990.0,1992-12-19 00:00:00,-12.4,97.6,False,1985-94
1992361S23039,1993,Unnamed,33,5722.054013309873,,,,,-5,37.0,998.0,1992-12-28 00:00:00,-26.4,44.2,False,1985-94
1993012S09074,1993,Colina,81,4520.887976636524,,,95.0,,2,72.0,970.0,1993-01-19 12:00:00,-20.1,55.2,False,1985-94
1993016S16042,1993,Dessilia,67,5922.500418616096,,,35.0,,0,50.0,975.0,1993-01-19 12:00:00,-19.5,41.3,False,1985-94
1993016S06091,1993,Edwina,113,3071.3673286197977,,,110.0,,3,93.0,925.0,1993-01-24 12:00:00,-14.8,69.6,False,1985-94
1993023S14120,1993,Lena,90,241.46122951736376,55.0,972.0,55.0,,0,55.0,972.0,1993-01-25 12:00:00,-16.0,119.0,True,1985-94
1993025S12136,1993,Unnamed,125,34.607064143538906,,,35.0,,0,,,1993-01-26 18:00:00,-14.2,135.7,True,1985-94
1993041S16052,1993,Finella,51,5124.458652211306,,,75.0,,1,44.0,984.0,1993-02-14 06:00:00,-26.2,54.8,False,1985-94
1993051S14046,1993,Gracia,23,7132.4018105626155,,,,,-5,37.0,990.0,1993-02-21 15:00:00,-15.4,44.1,False,1985-94
1993056S21051,1993,Unnamed,15,4917.183426802339,,,,,-5,30.0,995.0,1993-02-25 09:00:00,-24.6,55.3,False,1985-94
1993059S20052,1993,Hutelle,19,6306.209389163883,,,,,-5,27.0,998.0,1993-02-28 21:00:00,-19.6,49.7,False,1985-94
1993061S14042,1993,Ionia,55,5250.078400128321,,,,,-5,34.0,993.0,1993-03-05 15:00:00,-23.4,48.7,False,1985-94
1993091S13092,1993,Jourdanne,73,2569.034885210212,,,125.0,,4,90.0,930.0,1993-04-06 00:00:00,-18.2,76.0,False,1985-94
1993096S11101,1993,Monty,73,631.8951315090633,60.0,992.0,50.0,,0,60.0,992.0,1993-04-10 21:00:00,-16.5,105.6,False,1985-94
1993120S10075,1993,Konita,63,4400.941979761034,,,90.0,,2,70.0,955.0,1993-05-05 06:00:00,-11.1,68.4,False,1985-94
1993312S06080,1994,Alexina,51,3652.6580460133428,,,60.0,,0,46.0,982.0,1993-11-10 18:00:00,-11.3,79.7,False,1985-94
1993327S07093,1994,Bettina,79,2598.950706758075,,,55.0,,0,60.0,970.0,1993-11-27 18:00:00,-15.9,77.4,False,1985-94
1993348S13120,1994,Naomi,34,23.792022770714084,80.0,960.0,55.0,,0,80.0,960.0,1993-12-17 00:00:00,-18.5,121.4,True,1985-94
1993345S08083,1994,Cecilia,85,3641.8804055273868,,,85.0,,2,55.0,972.0,1993-12-18 00:00:00,-17.2,60.2,False,1985-94
