sid,season,name,n_obs,min_dist_wa_km,peak_bom_wind_kt,min_bom_pres_hpa,peak_usa_wind_kt,min_usa_pres_hpa,peak_usa_sshs,peak_wmo_wind_kt,min_wmo_pres_hpa,date_peak,lat_peak,lon_peak,wa_affecting,decade
1996357S10136,1997,Phil,240,34.09363650807714,60.0,975.0,85.0,,2,60.0,975.0,1996-12-28 12:00:00,-15.2,122.2,True,1995-04
1996365S15137,1997,Rachel,141,0.0,70.0,965.0,80.0,,1,70.0,965.0,1997-01-06 06:00:00,-18.1,120.3,True,1995-04
1997048S12103,1997,Unnamed,79,227.8058790739029,,,45.0,,0,,,1997-02-20 00:00:00,-17.4,114.8,True,1995-04
1997125S08079,1997,Rhonda,143,215.40229462387776,95.0,935.0,100.0,,3,95.0,935.0,1997-05-14 04:00:00,-16.0,96.8,True,1995-04
1997359S12129,1998,Sid,39,328.2933401604123,45.0,985.0,40.0,,0,45.0,985.0,1997-12-27 09:00:00,-12.8,136.8,True,1995-04
1998022S15143,1998,Les,94,54.77460549493941,60.0,976.0,50.0,,0,60.0,976.0,1998-01-24 19:30:00,-14.3,136.4,True,1995-04
1998022S15125,1998,Tiffany,136,45.7367106232817,100.0,940.0,120.0,,4,100.0,940.0,1998-01-26 18:00:00,-18.5,117.9,True,1995-04
1998036S13135,1998,Cindy:Victor,153,21.60629585448897,85.0,970.0,90.0,,2,85.0,970.0,1998-02-12 18:00:00,-16.2,110.3,True,1995-04
1998106S09135,1998,Unnamed,29,21.491252413774337,,,40.0,,0,,,1998-04-18 18:00:00,-12.9,126.0,True,1995-04
1998336S13120,1999,Billy,82,3.33585240700578,70.0,965.0,65.0,,1,70.0,965.0,1998-12-04 00:00:00,-18.0,116.9,True,1995-04
1998335S12138,1999,Thelma,115,24.596309495216715,120.0,920.0,135.0,,4,120.0,920.0,1998-12-08 09:00:00,-11.5,129.4,True,1995-04
1999033S14118,1999,Unnamed,77,276.6675549961984,,,40.0,,0,,,1999-02-06 00:00:00,-18.8,111.2,True,1995-04
1999074S13118,1999,Elaine,85,21.490259881525898,90.0,945.0,100.0,,3,90.0,945.0,1999-03-17 22:00:00,-18.5,110.9,True,1995-04
1999074S13132,1999,Vance,128,19.181299182470724,120.0,910.0,125.0,,4,120.0,910.0,1999-03-20 16:00:00,-17.0,116.4,True,1995-04
1999092S11131,1999,Gwenda,88,32.63158890931466,120.0,900.0,130.0,,4,120.0,900.0,1999-04-06 06:00:00,-15.5,116.9,True,1995-04
1999343S09095,2000,Ilsa,103,107.013201309337,55.0,980.0,60.0,,0,55.0,980.0,1999-12-11 22:00:00,-11.8,101.9,True,1995-04
1999343S11123,2000,John,104,63.154730596781356,110.0,915.0,130.0,,4,110.0,915.0,1999-12-14 00:00:00,-18.2,117.7,True,1995-04
2000019S11127,2000,Unnamed,37,67.74843495461019,,,30.0,,-1,,,2000-01-21 00:00:00,-16.4,116.4,True,1995-04
2000056S17152,2000,Steve,180,13.342271810683803,60.0,975.0,65.0,,1,60.0,975.0,2000-02-27 09:00:00,-16.7,145.5,True,1995-04
2000060S17123,2000,Norman,124,51.324884307151045,110.0,930.0,120.0,,4,110.0,930.0,2000-03-02 22:00:00,-19.6,108.3,True,1995-04
2000075S17119,2000,Olga,62,347.3531598142027,50.0,985.0,50.0,,0,50.0,985.0,2000-03-17 22:00:00,-18.2,110.1,True,1995-04
2000102S13128,2000,Paul,126,78.58485391839572,120.0,915.0,130.0,,4,120.0,915.0,2000-04-15 04:00:00,-14.3,104.2,True,1995-04
2000105S09127,2000,Rosita,85,36.8208901751404,120.0,930.0,125.0,,4,120.0,930.0,2000-04-19 12:00:00,-18.0,121.4,True,1995-04
2000333S11140,2001,Sam,163,30.6146222352613,110.0,935.0,110.0,,3,110.0,935.0,2000-12-08 10:00:00,-18.6,121.4,True,1995-04
2001005S12136,2001,Unnamed,41,476.1960533139161,40.0,996.0,,,-5,40.0,996.0,2001-01-09 06:00:00,-12.3,132.1,True,1995-04
2001028S15128,2001,Terri,59,24.6968542096564,60.0,975.0,50.0,,0,60.0,975.0,2001-01-30 06:00:00,-17.5,119.7,True,1995-04
2001039S13117,2001,Vincent,89,22.239016046706258,45.0,980.0,35.0,,0,45.0,980.0,2001-02-12 10:00:00,-14.7,111.6,True,1995-04
