#,"Australian Bureau of Meteorology"
#,"Hydrologic Reference Stations"
#
#,"Dataset version: August, 2024"
#
#,"Daily streamflow (ML/day) and quality code"
#,"Quality code values are defined as:"
#,"  Best available data: A"
#,"  Good data: B"
#,"  Poor data: C"
#,"  Unreliable data: E"
#,"  Gap filled data: G"
#,"For detailed quality code mapping, see the report 'Streamflow quality codes for Hydrologic Reference Stations' at http://www.bom.gov.au/water/hrs/qc_doc.shtml"
#
#,"Murray River - Baden Powell (614006)"
#,"Catchment area:", 6772.9,"km^2"
#,"Location:", 116.0843,"degrees E", 32.7722,"degrees S"
#,"Source used:",WISKI (validated data only)
#,"Extraction method:",daily discharge total (cubic metres), reported at 9am local time for the previous 24 hours.
#,"Data gaps were in filled by using daily rainfall-runoff model"
#,"Data extraction date:",14/06/2024
#
#,"For more information see http://www.bom.gov.au/water/hrs"
#
#,"For copyright and licence information see http://www.bom.gov.au/water/hrs/copyright.shtml"
#
Date,Flow (ML),Bureau QCode
1964-09-01,3412.972799998652,A
1964-09-02,2954.102400002206,A
1964-09-03,2679.8687999984313,A
1964-09-04,2514.3264000017984,A
1964-09-05,2458.771200001405,A
1964-09-06,2350.5119999996587,A
1964-09-07,2225.059200001235,A
1964-09-08,2023.14240000268,A
1964-09-09,1822.3488000019006,A
1964-09-10,1688.9472000030728,A
1964-09-11,1565.049600001047,A
1964-09-12,1468.4544000027643,A
1964-09-13,1385.0783999975708,A
1964-09-14,1336.2623999973725,A
1964-09-15,1381.5359999993786,A
1964-09-16,1420.9343999984358,A
1964-09-17,1419.20639999717,A
1964-09-18,1516.5791999970381,A
1964-09-19,1566.8639999979737,A
1964-09-20,1484.5248000016672,A
1964-09-21,1348.2719999970257,A
1964-09-22,1300.5792000013753,A
1964-09-23,1270.9439999996487,A
1964-09-24,1235.6063999998407,A
1964-09-25,1155.9455999977072,A
1964-09-26,1093.9968000000806,A
1964-09-27,1056.844800003346,A
1964-09-28,1032.6527999991722,A
1964-09-29,998.438399997139,A
1964-09-30,1032.739200001606,A
1964-10-01,1079.1360000013867,A
1964-10-02,1125.7055999992624,A
1964-10-03,1137.2832000002923,A
1964-10-04,1130.8896000030595,A
1964-10-05,1128.6432000007367,A
1964-10-06,1121.6448000000132,A
1964-10-07,1093.132800002834,A
1964-10-08,1040.1696000009529,A
1964-10-09,994.2047999997951,A
1964-10-10,990.0575999981119,A
1964-10-11,987.7248000001284,A
1964-10-12,1020.3839999989902,A
1964-10-13,1017.7920000004783,A
1964-10-14,999.6479999973478,A
1964-10-15,1001.3759999986135,A
1964-10-16,988.6751999998085,A
1964-10-17,922.9247999966884,A
1964-10-18,870.6528000007316,A
1964-10-19,819.1583999995875,A
1964-10-20,764.2943999983456,A
1964-10-21,738.8928000007359,A
1964-10-22,740.1024000009445,A
1964-10-23,734.2271999979959,A
1964-10-24,732.9312000021262,A
1964-10-25,707.2703999972149,A
1964-10-26,670.5503999997811,A
1964-10-27,639.4464000000262,A
1964-10-28,618.1920000000358,A
1964-10-29,626.6592000001422,A
1964-10-30,617.6736000003334,A
1964-10-31,588.470399999939,A
1964-11-01,562.6368000003196,A
1964-11-02,538.0128000002316,A
1964-11-03,512.6976000003144,A
1964-11-04,498.7871999999463,A
1964-11-05,479.08799999974036,A
1964-11-06,453.25440000012105,A
1964-11-07,437.61599999984173,A
1964-11-08,419.6448000002242,A
1964-11-09,399.34079999991394,A
1964-11-10,389.23200000029846,A
1964-11-11,361.5839999996887,A
1964-11-12,348.2784000001021,A
1964-11-13,327.8880000000672,A
1964-11-14,312.50880000031646,A
1964-11-15,293.67360000006613,A
1964-11-16,278.98560000014436,A
1964-11-17,262.74239999976066,A
1964-11-18,248.67126234384742,G
1964-11-19,234.7068874413096,G
1964-11-20,220.84269033876757,G
1964-11-21,207.07257846318973,G
1964-11-22,193.39091013449342,G
1964-11-23,179.79245689535247,G
1964-11-24,166.27236916040297,G
1964-11-25,152.82614472970846,G
1964-11-26,139.4495999998712,A
1964-11-27,145.2383999997089,A
1964-11-28,142.47359999971567,A
1964-11-29,140.4000000002287,A
1964-11-30,141.4368000003108,A
1964-12-01,142.56000000011758,A
1964-12-02,139.0175999998934,A
1964-12-03,136.5984000001533,A
1964-12-04,135.5616000000712,A
1964-12-05,126.14400000028466,A
1964-12-06,120.52799999989624,A
1964-12-07,109.29599999979665,A
1964-12-08,97.11360000001689,A
1964-12-09,86.05440000004388,A
1964-12-10,78.96960000027283,A
1964-12-11,72.92159999990662,A
1964-12-12,66.26879999997789,A
1964-12-13,61.6032000000147,A
1964-12-14,57.2832000000337,A
1964-12-15,45.44640000003297,A
1964-12-16,35.25120000001553,A
1964-12-17,33.8688000000189,A
1964-12-18,32.40000000002672,A
1964-12-19,39.74399999998763,A
1964-12-20,141.52320000003547,A
1964-12-21,169.60319999994573,A
1964-12-22,151.2864000000751,A
1964-12-23,146.01599999993982,A
1964-12-24,146.01599999993982,A
1964-12-25,137.5487999998335,A
1964-12-26,124.07040000012039,A
1964-12-27,103.76639999981016,A
1964-12-28,90.8928000002014,A
1964-12-29,78.10560000031728,A
1964-12-30,64.02240000002571,A
1964-12-31,57.369600000029244,A
1965-01-01,43.459199999999726,A
1965-01-02,33.78240000002335,A
1965-01-03,28.710675942082062,G
1965-01-04,23.650779421422705,G
1965-01-05,18.602288490777653,G
1965-01-06,13.56479999997958,A
1965-01-07,13.610605194540051,G
1965-01-08,13.666658975715384,G
1965-01-09,13.73260881873389,G
1965-01-10,13.808117344586025,G
1965-01-11,13.892861541073202,G
1965-01-12,13.986532030860463,G
1965-01-13,14.088832382672551,G
1965-01-14,14.19947846299193,G
1965-01-15,14.318197825414114,G
1965-01-16,14.44472913528982,G
1965-01-17,14.578821627080213,G
1965-01-18,14.720234593002957,G
1965-01-19,14.868736899785794,G
1965-01-20,15.024106532850396,G
1965-01-21,15.186130165894541,G
1965-01-22,15.35460275309583,G
1965-01-23,15.529327145088235,G
1965-01-24,15.71011372430918,G
1965-01-25,15.89678006059756,G
1965-01-26,16.0891505850109,G
1965-01-27,16.28705628071017,G
1965-01-28,16.490334390099612,G
1965-01-29,16.698828137408753,G
1965-01-30,16.91238646522658,G
1965-01-31,17.130863784581543,G
1965-02-01,17.3541197382287,G
1965-02-02,17.58201897490895,G
1965-02-03,17.814430935934976,G
1965-02-04,18.051229651733298,G
1965-02-05,18.29229354868118,G
1965-02-06,18.53750526515469,G
1965-02-07,18.78675147692328,G
1965-02-08,19.03992273067197,G
1965-02-09,19.296913285583177,G
1965-02-10,19.557620962368773,G
1965-02-11,19.82194699982008,G
1965-02-12,20.089795917453458,G
1965-02-13,20.361075385267416,G
1965-02-14,20.63569609885036,G
1965-02-15,20.913571660854835,G
1965-02-16,21.19461846748372,G
1965-02-17,21.47875560019156,G
1965-02-18,21.765904722397817,G
1965-02-19,22.055989980873495,G
1965-02-20,22.348937910988223,G
1965-02-21,22.644677347104817,G
1965-02-22,22.9431393360216,G
1965-02-23,23.244257054478492,G
1965-02-24,23.547965730659083,G
1965-02-25,23.854202568198723,G
1965-02-26,24.162906674527203,G
1965-02-27,24.47401899110793,G
1965-02-28,24.78748222780848,G
1965-03-01,25.103240798896717,G
1965-03-02,25.42124076269426,G
1965-03-03,25.741429762923154,G
1965-03-04,26.06375697310037,G
